table,column,dtype,n_unique,n_null,pct_null,sample
orders,order_id,str,99441,0,0.0,e481f51cbdc54678b7cc49136f2d6af7
orders,customer_id,str,99441,0,0.0,9ef432eb6251297304e76186b10a928d
orders,order_status,str,8,0,0.0,delivered
orders,order_purchase_timestamp,datetime64[us],98875,0,0.0,2017-10-02 10:56:33
orders,order_approved_at,datetime64[us],90733,160,0.16,2017-10-02 11:07:15
orders,order_delivered_carrier_date,datetime64[us],81018,1783,1.79,2017-10-04 19:55:00
orders,order_delivered_customer_date,datetime64[us],95664,2965,2.98,2017-10-10 21:25:13
orders,order_estimated_delivery_date,datetime64[us],459,0,0.0,2017-10-18
order_items,order_id,str,98666,0,0.0,00010242fe8c5a6d1ba2dd792cb16214
order_items,order_item_id,int64,21,0,0.0,1
order_items,product_id,str,32951,0,0.0,4244733e06e7ecb4970a6e2683c13e61
order_items,seller_id,str,3095,0,0.0,48436dade18ac8b2bce089ec2a041202
order_items,shipping_limit_date,datetime64[us],93318,0,0.0,2017-09-19 09:45:35
order_items,price,float64,5968,0,0.0,58.9
order_items,freight_value,float64,6999,0,0.0,13.29
order_payments,order_id,str,99440,0,0.0,b81ef226f3fe1789b1e8b2acac839d17
order_payments,payment_sequential,int64,29,0,0.0,1
order_payments,payment_type,str,5,0,0.0,credit_card
order_payments,payment_installments,int64,24,0,0.0,8
order_payments,payment_value,float64,29077,0,0.0,99.33
order_reviews,review_id,str,98410,0,0.0,7bc2406110b926393aa56f80a40eba40
order_reviews,order_id,str,98673,0,0.0,73fc7af87114b39712e6da79b0a377eb
order_reviews,review_score,int64,5,0,0.0,4
order_reviews,review_comment_title,str,4527,87656,88.34,recomendo
order_reviews,review_comment_message,str,36159,58247,58.7,Recebi bem antes do prazo estipulado.
order_reviews,review_creation_date,datetime64[us],636,0,0.0,2018-01-18 00:00:00
order_reviews,review_answer_timestamp,datetime64[us],98248,0,0.0,2018-01-18 21:46:59
customers,customer_id,str,99441,0,0.0,06b8999e2fba1a1fbc88172c00ba8bc7
customers,customer_unique_id,str,96096,0,0.0,861eff4711a542e4b93843c6dd7febb0
customers,customer_zip_code_prefix,int64,14994,0,0.0,14409
customers,customer_city,str,4119,0,0.0,franca
customers,customer_state,str,27,0,0.0,SP
products,product_id,str,32951,0,0.0,1e9e8ef04dbcff4541ed26657ea517e5
products,product_category_name,str,73,610,1.85,perfumaria
products,product_name_lenght,float64,66,610,1.85,40.0
products,product_description_lenght,float64,2960,610,1.85,287.0
products,product_photos_qty,float64,19,610,1.85,1.0
products,product_weight_g,float64,2204,2,0.01,225.0
products,product_length_cm,float64,99,2,0.01,16.0
products,product_height_cm,float64,102,2,0.01,10.0
products,product_width_cm,float64,95,2,0.01,14.0
sellers,seller_id,str,3095,0,0.0,3442f8959a84dea7ee197c632cb2df15
sellers,seller_zip_code_prefix,int64,2246,0,0.0,13023
sellers,seller_city,str,611,0,0.0,campinas
sellers,seller_state,str,23,0,0.0,SP
geolocation,geolocation_zip_code_prefix,int64,19015,0,0.0,1037
geolocation,geolocation_lat,float64,717363,0,0.0,-23.54562128115268
geolocation,geolocation_lng,float64,717615,0,0.0,-46.63929204800168
geolocation,geolocation_city,str,8011,0,0.0,sao paulo
geolocation,geolocation_state,str,27,0,0.0,SP
category_trans,product_category_name,str,71,0,0.0,beleza_saude
category_trans,product_category_name_english,str,71,0,0.0,health_beauty
